,PC1,PC2,PC3,PC4,PC5
TrvlTime_number,0.0609,0.2563,0.9574,0.048,-0.1081
Age,-0.1294,0.721,-0.2223,0.6417,-0.0468
indiv_trvl_frequency,0.6416,0.2058,-0.1633,-0.2088,-0.6898
HHVeh,0.6445,0.2522,-0.0225,-0.1092,0.7131
HHsize,0.3905,-0.5554,0.0825,0.7283,-0.0424
