,(Intercept),TrvlTime,Age,Indiv_trvl_frequency,HHVeh,HHsize,eta,odds = exp(eta),P(car)
A,-2.126,3.57189,1.0296,0.38664,2.024,-0.04926,4.83687,126.074122,0.992131
B,-2.126,0.19572,0.44616,0.11277,0.0,-0.02463,-1.39598,0.24759,0.198455
