model,lookback,params,best_epoch,val_MAE,val_RMSE
Persistence,--,--,--,8.623514001806685,13.199464485044848
Seasonal naive (t-1 week),--,--,--,16.665027100271004,26.518620122261236
Historical Average,--,--,--,11.265914163152328,18.39148750022876
MLP,24,148752,19,7.5071859516999675,10.959005627759414
1-D CNN,24,83696,3,7.996870685794258,11.680769042570155
LSTM,24,99408,9,6.679830654753794,10.120292381979286
