model,lookback,params,best_epoch,val_MAE,val_RMSE,seconds
MLP,12,81168,7,7.233437249797928,10.73866555276362,46.85380239994265
1-D CNN,12,83696,10,7.368871394087272,10.911427457855025,211.09679530002177
LSTM,12,99408,10,6.833163086283894,10.276174816321603,197.3069889000617
