lookback,hours,in_dim,val_MAE,val_RMSE
4,1.0,176,7.732808076490616,11.22632001839803
8,2.0,352,7.753386496429552,11.341473688071945
12,3.0,528,7.880126555582473,11.718251245626222
24,6.0,1056,8.59073540932928,12.587574231500385
48,12.0,2112,9.3051056538975,14.081951562456172
96,24.0,4224,10.422722453000583,15.649036666537128
