model,val_MAE_all,val_MAE_outage_removed
MLP,7.5071859516999675,7.2608528645529
1-D CNN,7.996870685794258,7.519407356239837
LSTM,6.679830654753794,6.840710812469603
Persistence,8.623514001806685,9.325610168144056
Seasonal naive (t-1 week),16.665027100271004,14.114744405135747
Historical Average,11.265914163152328,8.536779178802787
