configuration,learning_rate,alpha,train_acc,test_acc,test_bce,cv_L_cv
supplied defaults,0.001,0.0,0.55,0.38333333333333336,0.7402755154414976,
Bayesian optimization,2.222702497368282,0.00037486791892474524,0.8642857142857143,0.7833333333333333,0.451842302245116,0.42543211375925116
random search,1.246878665907564,0.00042980418362864256,0.8571428571428571,0.8,0.4445495666545861,0.42519548374195937
