model,seeds,mean_val_MAE,sd_val_MAE,min,max
LSTM,3,6.7095464923579655,0.0389521242750421,6.679830654753794,6.753644704116009
MLP,3,7.55360269560668,0.04201841865531765,7.5071859516999675,7.589044706434777
