lookback,windows,keep_if_target_complete,keep_if_input_and_target_complete
12,17649,0.8338716074565131,0.7033259674769109
24,17637,0.834268866587288,0.5820150819300335
48,17613,0.8340430363935729,0.3396922727530801
96,17565,0.8335895246228295,0.010475377170509536
