lookback,hours,n_train,params,best_epoch,val_MAE,val_RMSE,seconds
4,1.0,11801,99408,8,6.930435667307753,10.322158054036858,129.29505079996306
12,3.0,11793,99408,10,6.833163086283894,10.276174816321603,196.9093312000623
24,6.0,11781,99408,9,6.679830654753794,10.120292381979286,266.7279700000072
48,12.0,11757,99408,16,6.749273778003443,10.143183273708372,594.3205152000301
