datetime,location_id,pickup_demand,dropoff_demand
2023-05-01 02:00:00,236,1.0,4.0
2023-05-01 02:00:00,237,1.0,0.0
2023-05-01 02:15:00,132,36.0,0.0
2023-05-01 02:15:00,138,24.0,3.0
2023-05-01 02:15:00,142,1.0,6.0
2023-05-01 02:15:00,161,0.0,3.0
2023-05-01 02:15:00,162,2.0,3.0
2023-05-01 02:15:00,170,0.0,1.0
2023-05-01 02:15:00,186,1.0,2.0
2023-05-01 02:15:00,230,6.0,2.0
2023-05-01 02:15:00,236,1.0,8.0
2023-05-01 02:15:00,237,0.0,3.0
2023-05-01 02:30:00,132,45.0,4.0
2023-05-01 02:30:00,138,21.0,0.0
2023-05-01 02:30:00,142,1.0,1.0
2023-05-01 02:30:00,161,2.0,1.0
2023-05-01 02:30:00,162,0.0,1.0
2023-05-01 02:30:00,170,0.0,1.0
2023-05-01 02:30:00,186,2.0,1.0
2023-05-01 02:30:00,230,0.0,2.0
2023-05-01 02:30:00,236,1.0,1.0
2023-05-01 02:30:00,237,,
2023-05-01 02:45:00,132,20.0,1.0
2023-05-01 02:45:00,138,8.0,1.0
2023-05-01 02:45:00,142,0.0,1.0
2023-05-01 02:45:00,161,0.0,1.0
2023-05-01 02:45:00,162,0.0,2.0
2023-05-01 02:45:00,170,0.0,1.0
2023-05-01 02:45:00,186,5.0,0.0
2023-05-01 02:45:00,230,4.0,4.0
2023-05-01 02:45:00,236,0.0,3.0
2023-05-01 02:45:00,237,1.0,2.0
2023-05-01 03:00:00,132,33.0,7.0
2023-05-01 03:00:00,138,1.0,3.0
2023-05-01 03:00:00,142,,
2023-05-01 03:00:00,161,0.0,1.0
2023-05-01 03:00:00,162,1.0,1.0
2023-05-01 03:00:00,170,0.0,1.0
2023-05-01 03:00:00,186,12.0,2.0
2023-05-01 03:00:00,230,2.0,4.0
2023-05-01 03:00:00,236,1.0,1.0
2023-05-01 03:00:00,237,0.0,3.0
2023-05-01 03:15:00,132,10.0,0.0
2023-05-01 03:15:00,138,3.0,1.0
2023-05-01 03:15:00,142,0.0,3.0
2023-05-01 03:15:00,161,0.0,1.0
2023-05-01 03:15:00,162,2.0,1.0
2023-05-01 03:15:00,170,0.0,2.0
2023-05-01 03:15:00,186,4.0,1.0
2023-05-01 03:15:00,230,4.0,1.0
2023-05-01 03:15:00,236,0.0,1.0
2023-05-01 03:15:00,237,1.0,0.0
2023-05-01 03:30:00,132,19.0,2.0
2023-05-01 03:30:00,138,0.0,1.0
2023-05-01 03:30:00,142,1.0,2.0
2023-05-01 03:30:00,161,2.0,0.0
2023-05-01 03:30:00,162,2.0,1.0
2023-05-01 03:30:00,170,2.0,4.0
2023-05-01 03:30:00,186,6.0,2.0
2023-05-01 03:30:00,230,2.0,0.0
2023-05-01 03:30:00,236,0.0,1.0
2023-05-01 03:30:00,237,1.0,0.0
2023-05-01 03:45:00,132,5.0,5.0
2023-05-01 03:45:00,138,1.0,5.0
2023-05-01 03:45:00,142,1.0,1.0
2023-05-01 03:45:00,161,,
2023-05-01 03:45:00,162,0.0,5.0
2023-05-01 03:45:00,170,1.0,3.0
2023-05-01 03:45:00,186,1.0,2.0
2023-05-01 03:45:00,230,6.0,1.0
2023-05-01 03:45:00,236,,
2023-05-01 03:45:00,237,1.0,0.0
2023-05-01 04:00:00,132,1.0,4.0
2023-05-01 04:00:00,138,0.0,4.0
2023-05-01 04:00:00,142,0.0,1.0
2023-05-01 04:00:00,161,1.0,1.0
2023-05-01 04:00:00,162,1.0,0.0
2023-05-01 04:00:00,170,0.0,1.0
2023-05-01 04:00:00,186,3.0,1.0
2023-05-01 04:00:00,230,6.0,2.0
2023-05-01 04:00:00,236,2.0,1.0
2023-05-01 04:00:00,237,0.0,1.0
2023-05-01 04:15:00,132,5.0,5.0
2023-05-01 04:15:00,138,0.0,6.0
2023-05-01 04:15:00,142,,
2023-05-01 04:15:00,161,1.0,1.0
2023-05-01 04:15:00,162,1.0,1.0
2023-05-01 04:15:00,170,1.0,4.0
2023-05-01 04:15:00,186,3.0,0.0
2023-05-01 04:15:00,230,5.0,4.0
2023-05-01 04:15:00,236,1.0,1.0
2023-05-01 04:15:00,237,0.0,1.0
2023-05-01 04:30:00,132,3.0,10.0
2023-05-01 04:30:00,138,2.0,12.0
2023-05-01 04:30:00,142,0.0,1.0
2023-05-01 04:30:00,161,5.0,1.0
2023-05-01 04:30:00,162,,
2023-05-01 04:30:00,170,5.0,1.0
2023-05-01 04:30:00,186,1.0,5.0
2023-05-01 04:30:00,230,7.0,2.0
2023-05-01 04:30:00,236,1.0,2.0
2023-05-01 04:30:00,237,1.0,1.0
2023-05-01 04:45:00,132,0.0,10.0
2023-05-01 04:45:00,138,0.0,12.0
2023-05-01 04:45:00,142,1.0,0.0
2023-05-01 04:45:00,161,1.0,3.0
2023-05-01 04:45:00,162,3.0,3.0
2023-05-01 04:45:00,170,4.0,1.0
2023-05-01 04:45:00,186,1.0,4.0
2023-05-01 04:45:00,230,5.0,2.0
2023-05-01 04:45:00,236,4.0,2.0
2023-05-01 04:45:00,237,0.0,1.0
2023-05-01 05:00:00,132,7.0,11.0
2023-05-01 05:00:00,138,2.0,22.0
2023-05-01 05:00:00,142,1.0,0.0
2023-05-01 05:00:00,161,5.0,4.0
2023-05-01 05:00:00,162,2.0,5.0
2023-05-01 05:00:00,170,,
2023-05-01 05:00:00,186,10.0,0.0
2023-05-01 05:00:00,230,2.0,3.0
2023-05-01 05:00:00,236,2.0,3.0
2023-05-01 05:00:00,237,1.0,3.0
2023-05-01 05:15:00,132,17.0,15.0
2023-05-01 05:15:00,138,1.0,13.0
2023-05-01 05:15:00,142,2.0,2.0
2023-05-01 05:15:00,161,4.0,4.0
2023-05-01 05:15:00,162,1.0,3.0
2023-05-01 05:15:00,170,1.0,0.0
2023-05-01 05:15:00,186,13.0,4.0
2023-05-01 05:15:00,230,1.0,4.0
2023-05-01 05:15:00,236,1.0,2.0
2023-05-01 05:15:00,237,1.0,2.0
2023-05-01 05:30:00,132,18.0,13.0
2023-05-01 05:30:00,138,4.0,18.0
2023-05-01 05:30:00,142,3.0,2.0
2023-05-01 05:30:00,161,5.0,9.0
2023-05-01 05:30:00,162,2.0,8.0
2023-05-01 05:30:00,170,4.0,6.0
2023-05-01 05:30:00,186,12.0,3.0
2023-05-01 05:30:00,230,4.0,4.0
2023-05-01 05:30:00,236,6.0,5.0
2023-05-01 05:30:00,237,3.0,2.0
2023-05-01 05:45:00,132,46.0,9.0
2023-05-01 05:45:00,138,4.0,12.0
2023-05-01 05:45:00,142,6.0,5.0
2023-05-01 05:45:00,161,6.0,21.0
2023-05-01 05:45:00,162,7.0,10.0
2023-05-01 05:45:00,170,6.0,2.0
2023-05-01 05:45:00,186,17.0,2.0
2023-05-01 05:45:00,230,6.0,7.0
2023-05-01 05:45:00,236,2.0,3.0
2023-05-01 05:45:00,237,5.0,4.0
2023-05-01 06:00:00,132,45.0,6.0
2023-05-01 06:00:00,138,2.0,14.0
2023-05-01 06:00:00,142,11.0,2.0
2023-05-01 06:00:00,161,14.0,20.0
2023-05-01 06:00:00,162,12.0,8.0
2023-05-01 06:00:00,170,4.0,4.0
2023-05-01 06:00:00,186,12.0,5.0
2023-05-01 06:00:00,230,5.0,11.0
2023-05-01 06:00:00,236,6.0,3.0
2023-05-01 06:00:00,237,5.0,5.0
2023-05-01 06:15:00,132,34.0,14.0
2023-05-01 06:15:00,138,1.0,20.0
2023-05-01 06:15:00,142,11.0,4.0
2023-05-01 06:15:00,161,12.0,18.0
2023-05-01 06:15:00,162,10.0,16.0
2023-05-01 06:15:00,170,3.0,11.0
2023-05-01 06:15:00,186,32.0,8.0
2023-05-01 06:15:00,230,4.0,10.0
2023-05-01 06:15:00,236,12.0,5.0
2023-05-01 06:15:00,237,7.0,8.0
